2,Envolver,Anitta,Funk Pop,Versions of Me,2022
8,Te Amo Demais,Marília Mendonça,Sertanejo,Decretos Reais,2022
9,Dengo,João Gomes,Sertanejo,Digo Ou Não Digo,2022
13,Im Good (Blue) ,David Guetta,Eletrônica,Bebe,2022
3,AntiHero,Taylor Swift,Pop,Midnights,2022
14,Ai Preto ,L7NNON,Funk,Ai preto,2022
11,Tubarão Te Amo,MC Ryan SP,Funk,Tubarão Te Amo,2022
12,DANÇARINA ,PEDRO SAMPAIO,Funk,Chama Meu Nome,2022
16,Unholy ,Sam Smith,Pop,Gloria,2022
20,Calm Down (remix),REMA,Afrobeats,Midnight Vibes,2022
17,CAFÉ DA MANHÃ ,Luísa Sonza,Funk,Doce 22,2022
1,As It Was,Harry Styles,Pop,Harrys House,2022
7,Pipoco ,Ana Castela,Sertanejo Eletrônico,Pipoco ,2022
15,First Class,Jack Harlow,Hip-hop,Come Home the Kids Miss You,2022
10,abcdefu,GAYLE,Pop,a study of the human experience volume one,2022
18,Idiota,Jão,Pop,Pirata,2021
4,ACORDA PEDRINHO,Jovem Dionisio,Indie,Acorda Pedrinho,2022
5,Glimpse of Us,Joji,R&B,Smithereens,2022
6,Snap,Rosa Linn,Pop,SNAP PACK,2022
19,ABALO EMOCIONAL,Luan Santana,Sertanejo,LUAN CITY,2022
